author,text,clean_text,likeCount,publishedAt,sentiment
@Queen,Thank you to all our fans across the World for helping us hit ONE BILLION VIEWS. Comment down below your favorite memory of Queen ❤️,thank fans across world helping us hit one billion views comment favorite memory queen,494305,2019-07-21T15:23:42Z,positive
@El_yisus-p1p,oh shit fue hace 16 años,oh shit fue hace aos,0,2025-06-22T02:42:14Z,neutral
@tanniamendoza1677,Feo,feo,0,2025-06-22T01:38:26Z,neutral
@mihg2rdm362,"I came from the future! To get too know what will happen, you need to answer only one question...
Anyone in 2025?",came future get know happen need answer one question anyone,1,2025-06-22T01:15:17Z,neutral
@agentslime6,0:57 R.I.P Cheeseman,rip cheeseman,0,2025-06-22T01:10:03Z,neutral
@KimTrepp,❤❤❤,,1,2025-06-22T00:50:01Z,neutral
@たにりこ,映画、感動しました❤😂,,0,2025-06-22T00:13:35Z,neutral
@julietemple011,hello people watching this relatively close to me,hello people watching relatively close,1,2025-06-21T23:59:24Z,neutral
@tonykavanagh4850,best song of all time. nothing comes close.,best song time nothing comes close,2,2025-06-21T23:32:08Z,positive
@Animation-w2t,I DID IT LIKE THIS,like,1,2025-06-21T22:38:46Z,neutral
@birgittasundell-ranby5227,"Mercury is cool with me, idk why manager was referring me to S I had no facial rearrangements done. The patch is ok with if my plane plan doesnt hatch, the government kind of sees my point that eventually the way it is how the people themselves want it. Idk why my country still buys Mercury swings that way??? He isnt that way im sorry, awesome song anyhow",mercury cool idk manager referring facial rearrangements done patch ok plane plan doesnt hatch government kind sees point eventually way people want idk country still buys mercury swings way isnt way im sorry awesome song anyhow,0,2025-06-21T22:24:35Z,positive
@randomdosesofconnor3756,"3:50 probably the weirdest parts to sing, and that’s what I love about this song. It’s weird, but not in a bad way. Same for is slow pace.",probably weirdest parts sing thats love song weird bad way slow pace,0,2025-06-21T22:19:05Z,negative
@heidecristina7601,"Sou de 83 e apaixonada por Freddie.Brasil Jun/2025, e vc? 👇🏽",sou de e apaixonada por freddiebrasil jun e vc,1,2025-06-21T21:51:37Z,neutral
@Jirenzane,4:12 I justed bookmarked it don’t mind it.,justed bookmarked dont mind,1,2025-06-21T21:47:12Z,neutral
@Denisse_lum92,Hi,hi,0,2025-06-21T20:57:54Z,neutral
@hondac7028,54 years old still love this song.❤,years old still love song,1,2025-06-21T20:48:20Z,positive
@Gargamel_0,solid 8/10 kinda overrated tbh,solid kinda overrated tbh,0,2025-06-21T20:43:02Z,neutral
@ringo-b5o,i dont understand how young people of today know singer like byonce or rihana or shakira  but dont know who is qween😮where there father there mather😮,dont understand young people today know singer like byonce rihana shakira dont know qweenwhere father mather,0,2025-06-21T20:23:40Z,neutral
@JohnHeckman-o6s,"Instead of hearing sape him his life from his monstrosity I hear ""Spare him his life from his warm Sauage tea.""",instead hearing sape life monstrosity hear spare life warm sauage tea,0,2025-06-21T19:54:21Z,positive
@strannik1527,"Ох, да! Каждое тело можно полюбить, только откройте свое сердце! Все мечтают любить и быть любимыми, наверное, даже муха. (Но, рожайте осознанно)",,0,2025-06-21T19:32:32Z,neutral
@Raggy_df,"What's with the chat gpt comments, I'm lost.",whats chat gpt comments im lost,0,2025-06-21T19:12:21Z,neutral
@Alfia-x9z,Es itizz 2025 год,es itizz,0,2025-06-21T18:33:06Z,neutral
@francisfulford3523,"Fun fact:did you know Bohem rapcity is a bout a boy 
 Who kill himself because he kills a man and goes to hell",fun factdid know bohem rapcity bout boy kill kills man goes hell,0,2025-06-21T18:29:45Z,positive
@正一-g3r,すごいよね,,1,2025-06-21T17:46:13Z,neutral
@Veselin_bg,Anyone 2025 here,anyone,1,2025-06-21T17:43:53Z,neutral
@covermusik12,❤❤,,1,2025-06-21T17:31:55Z,neutral
@Thor-finn,Here because chat gpt recommended me this,chat gpt recommended,0,2025-06-21T17:21:09Z,neutral
@joelm5578,Anyone July 2025!?,anyone july,2,2025-06-21T16:54:20Z,neutral
@wtfgamesstudios,I want this song to be played at my funeral,want song played funeral,1,2025-06-21T16:27:09Z,neutral
